HRID,Numer seryjny,Data,Wynik
12101333,JBBD11BX10SA,2025-01-23 13:37:05,PASS
12101333,JBBD11BX10SA,2025-01-23 13:37:52,PASS
12101333,JBBD11BX10SA,2025-01-23 13:38:59,FAIL
12101333,JBBD11BX10SA,2025-01-23 13:40:40,PASS
12101333,JBBD11BX10SA,2025-01-23 13:41:04,PASS
12101333,JBBD11BX10SA,2025-01-23 13:53:10,FAIL
12101333,JBBD11BX10SA,2025-01-23 13:54:07,PASS
12101333,JBBD11BX10SA,2025-01-23 14:01:18,FAIL
12101333,123456123456,2025-02-07 10:32:12,FAIL
12101333,JBBD11BX10SA,2025-02-14 08:42:17,FAIL
12101333,JBBD128S4X00,2025-02-26 10:02:06,START
12101333,JBBD128S4X00,2025-02-26 10:03:06,START
12101333,JBBD128S4X00,2025-02-26 10:52:42,START
12101333,JBBD128S4X00,2025-02-26 10:53:21,START
12101333,JBBD128S4X00,2025-02-26 10:53:35,START
12101333,JBBD128S4X00,2025-02-26 10:56:05,START
12101333,JBBD128S4X00,2025-02-26 11:40:17,START
12101333,JBBD128S4X00,2025-02-26 11:42:35,START
12101333,JBBD128S4X00,2025-02-26 11:47:19,START
12101333,JBBD128S4X00,2025-02-26 11:50:47,START
12101333,JBBD128S4X00,2025-02-26 11:51:40,START
12101333,JBBD128S4X00,2025-02-26 11:52:17,START
12101333,jbbd128s4x00,2025-02-26 11:56:06,START
12101333,JBBD128S4X00,2025-02-26 12:04:27,START
12101333,JBBD128S4X00,2025-02-26 12:06:43,START
12101333,JBBD128S4X00,2025-02-26 12:08:55,START
12101333,JBBD128S4X00,2025-02-26 12:09:56,START
12101333,JBBD128S4X00,2025-02-26 12:23:41,START
12101333,JBBD128S4X00,2025-02-26 12:27:21,START
12101333,JBBD128S4X00,2025-02-26 12:28:50,START
12101333,JBBD128S4X00,2025-02-26 12:32:10,START
12101333,JBBD128S4X00,2025-02-26 12:33:33,START
12101333,JBBD128S4X00,2025-02-26 12:34:14,START
12101333,JBBD128S4X00,2025-02-26 12:38:20,START
12101333,JBBD128S4X00,2025-02-26 12:38:50,START
12101333,JBBD128S4X00,2025-02-26 12:52:14,START
12101333,jbbd128s4x00,2025-02-26 13:02:19,START
12101333,jbbd128s4x00,2025-02-26 13:03:45,START
12101333,JBBD128S4X00,2025-02-26 13:33:57,START
12101333,JBBD128S4X00,2025-02-26 13:35:47,START
12101333,JBBD128S4X00,2025-02-26 13:36:33,START
