Tester,HRID,Numer seryjny,Data,Napiecie bez obciazenia [V],Napiecie z obciazeniem [V],PIN 3,PIN 4,PIN 5,Wynik koncowy
RXT-PSU-001,TEST,jbbd12461zxh,2025-03-13 09:18:20,12.23395,12.01923,PASS,PASS,PASS,PASS
RXT-PSU-001,TEST,JBBD12461ZXH,2025-03-13 09:19:11,12.234350000000001,12.01858,PASS,PASS,PASS,PASS
RXT-PSU-001,TEST,JBBD12461ZXH,2025-03-13 09:19:52,12.2345,12.01831,PASS,PASS,PASS,PASS
RXT-PSU-001,TEST,JBBD12461ZXH,2025-03-13 09:20:32,12.23474,12.01829,PASS,PASS,PASS,PASS
RXT-PSU-001,TEST,JBBD12461ZXH,2025-03-13 09:21:13,12.23491,12.01859,PASS,PASS,PASS,PASS
RXT-PSU-001,TEST,JBBD12461ZXH,2025-03-13 09:21:53,12.23525,12.018780000000001,PASS,PASS,PASS,PASS
RXT-PSU-001,12101333,JBBD12461ZXH,2025-03-13 13:33:07,12.232280000000001,12.02143,PASS,PASS,PASS,PASS
RXT-PSU-001,12101333,JBBD12461ZXH,2025-03-13 13:36:38,12.23277,12.019260000000001,PASS,PASS,PASS,PASS
RXT-PSU-001,12101333,JBBD12461ZXH,2025-03-13 13:38:36,12.23322,12.02694,PASS,PASS,PASS,PASS
RXT-PSU-001,12101333,JBBD12461ZXH,2025-03-13 13:42:13,12.23346,12.022450000000001,PASS,PASS,PASS,PASS
RXT-PSU-001,12101333,JBBD12461ZXH,2025-03-13 13:46:10,12.233709999999999,12.02462,PASS,PASS,PASS,PASS
RXT-PSU-001,12101333,JBBD12461ZXH,2025-03-13 13:49:28,12.233870000000001,12.02522,PASS,PASS,PASS,PASS
RXT-PSU-001,12101333,JBBD12461ZXH,2025-03-13 13:53:07,12.23395,12.02475,PASS,PASS,PASS,PASS
RXT-PSU-001,12101333,JBBD12461ZXH,2025-03-13 13:58:16,12.23414,12.029219999999999,PASS,PASS,PASS,PASS
RXT-PSU-001,12101333,JBBD12461ZXH,2025-03-13 14:01:07,12.23421,12.0325,PASS,PASS,PASS,PASS
